party,time,vote,voters,vote_pc,seat_name
AB Party,2026-02-12 15:56:06.220455+00:00,0.0,4097124.0,0.0,4.0
BJP,2026-02-12 15:56:06.220455+00:00,0.0,368470.0,0.0,1.0
BNP,2026-02-12 15:56:06.220455+00:00,326515.0,37337985.0,0.87,79.0
Bangladesh Khelafat Majlish,2026-02-12 15:56:06.220455+00:00,12.0,3010524.0,0.0,
CPB,2026-02-12 15:56:06.220455+00:00,0.0,9554663.0,0.0,
Gano Forum,2026-02-12 15:56:06.220455+00:00,0.0,2109652.0,0.0,
Ganosamhati Andolon (Saki),2026-02-12 15:56:06.220455+00:00,0.0,2942427.0,0.0,
Islami Andolan Bangladesh,2026-02-12 15:56:06.220455+00:00,0.0,31845480.0,0.0,2.0
JaPa,2026-02-12 15:56:06.220455+00:00,0.0,25517854.0,0.0,
Jamaat,2026-02-12 15:56:06.220455+00:00,270643.0,30265615.0,0.89,7.0
Jamiat Ulema-e-Islam Bangladesh,2026-02-12 15:56:06.220455+00:00,0.0,355737.0,0.0,
Khelafat Majlish,2026-02-12 15:56:06.220455+00:00,0.0,563978.0,0.0,
NCP,2026-02-12 15:56:06.220455+00:00,1203.0,3807031.0,0.03,
